Material,Heat treatment,Su,Sy,A5,Bhn,E,G,mu,Ro
Steel SAE 1015,as-rolled,421,314,39,126,207000,79000,0.3,7860
Steel SAE 1015,normalized,424,324,37,121,207000,79000,0.3,7860
Steel SAE 1015,annealed,386,284,37,111,207000,79000,0.3,7860
Steel SAE 1020,as-rolled,448,331,36,143,207000,79000,0.3,7860
Steel SAE 1020,normalized,441,346,35.8,131,207000,79000,0.3,7860
Steel SAE 1020,annealed,395,295,36.5,111,207000,79000,0.3,7860
Steel SAE 1022,as-rolled,503,359,35,149,207000,79000,0.3,7860
Steel SAE 1022,normalized,483,359,34,143,207000,79000,0.3,7860
Steel SAE 1022,annealed,450,317,35,137,207000,79000,0.3,7860
Steel SAE 1030,as-rolled,552,345,32,179,207000,79000,0.3,7860
Steel SAE 1030,normalized,517,345,32,149,207000,79000,0.3,7860
Steel SAE 1030,annealed,464,341,31,126,207000,79000,0.3,7860
Steel SAE 1030,tempered at 400 F,848,648,17,495,207000,79000,0.3,7860
Steel SAE 1040,as-rolled,621,414,25,201,207000,79000,0.3,7860
Steel SAE 1040,normalized,590,374,28,170,207000,79000,0.3,7860
Steel SAE 1040,annealed,519,353,30,149,207000,79000,0.3,7860
Steel SAE 1040,tempered at 400 F,779,593,19,262,207000,79000,0.3,7860
Steel SAE 1050,as-rolled,724,414,20,229,207000,79000,0.3,7860
Steel SAE 1050,normalized,748,427,20,217,207000,79000,0.3,7860
Steel SAE 1050,annealed,636,365,23.7,187,207000,79000,0.3,7860
Steel SAE 1050,tempered at 600 F,979,724,14,321,207000,79000,0.3,7860
Steel SAE 1060,as-rolled,814,483,17,241,207000,79000,0.3,7860
Steel SAE 1060,normalized,776,421,18,229,207000,79000,0.3,7860
Steel SAE 1060,annealed,626,372,22.5,179,207000,79000,0.3,7860
Steel SAE 1060,tempered at 600 F,1103,779,13,321,207000,79000,0.3,7860
Steel SAE 1080,as-rolled,965,586,12,293,207000,79000,0.3,7860
Steel SAE 1080,normalized,1010,524,11,293,207000,79000,0.3,7860
Steel SAE 1080,annealed,615,376,24.7,174,207000,79000,0.3,7860
Steel SAE 1080,tempered at 600 F,1303,979,12,388,207000,79000,0.3,7860
Steel SAE 1095,as-rolled,965,572,9,293,207000,79000,0.3,7860
Steel SAE 1095,normalized,1014,500,9.5,293,207000,79000,0.3,7860
Steel SAE 1095,annealed,657,379,13,192,207000,79000,0.3,7860
Steel SAE 1095,tempered at 400 F,1289,827,10,401,207000,79000,0.3,7860
